Price,Close,High,Low,Open,Volume
Ticker,304100.KQ,304100.KQ,304100.KQ,304100.KQ,304100.KQ
Date,,,,,
2025-03-17,25000.0,25100.0,24600.0,25050.0,132838
2025-03-18,24850.0,25150.0,24550.0,25000.0,117750
2025-03-19,25350.0,25550.0,24250.0,24650.0,207235
2025-03-20,23450.0,25600.0,23200.0,25350.0,251959
2025-03-21,22000.0,23500.0,21800.0,23450.0,348477
2025-03-24,22300.0,22500.0,21600.0,22050.0,112594
2025-03-25,21400.0,22600.0,21350.0,22350.0,136095
2025-03-26,22800.0,23550.0,21300.0,21500.0,401346
2025-03-27,23400.0,23950.0,22200.0,22800.0,284411
2025-03-28,22100.0,23100.0,21750.0,23050.0,148140
2025-03-31,20400.0,21950.0,20300.0,21950.0,108866
2025-04-01,22550.0,22850.0,20350.0,20450.0,167900
2025-04-02,22100.0,23150.0,21450.0,22900.0,168784
2025-04-03,22700.0,23300.0,21300.0,21300.0,135808
2025-04-04,24250.0,24550.0,22650.0,23200.0,365029
2025-04-07,28450.0,30150.0,23800.0,24050.0,2901174
2025-04-08,30700.0,33300.0,29100.0,29600.0,4106137
2025-04-09,29700.0,32350.0,28100.0,31900.0,1539037
2025-04-10,31200.0,31650.0,29100.0,30550.0,983903
2025-04-11,31750.0,34750.0,31450.0,32650.0,2354521
2025-04-14,39300.0,40750.0,33900.0,34200.0,6507642
2025-04-15,38200.0,39600.0,37800.0,39500.0,1201130
2025-04-16,36200.0,39800.0,36100.0,39300.0,1266417
2025-04-17,36900.0,37250.0,35650.0,35850.0,831817
2025-04-18,35700.0,36700.0,34850.0,36500.0,521926
2025-04-21,35000.0,36500.0,34600.0,36400.0,428160
2025-04-22,34050.0,35250.0,33850.0,34000.0,422784
2025-04-23,32750.0,34850.0,32150.0,34800.0,594705
2025-04-24,32700.0,33750.0,32200.0,32950.0,389237
2025-04-25,32500.0,33550.0,32250.0,33150.0,320464
2025-04-28,30400.0,32850.0,30200.0,32600.0,472581
2025-04-29,31200.0,31500.0,30000.0,30750.0,285228
2025-04-30,31100.0,32400.0,30500.0,32350.0,360806
2025-05-02,30100.0,30250.0,28900.0,29300.0,254569
2025-05-07,31900.0,32200.0,29750.0,30500.0,490441
2025-05-08,31900.0,32550.0,31250.0,32500.0,227053
2025-05-09,33300.0,34400.0,31400.0,32000.0,1279897
2025-05-12,33900.0,34950.0,33750.0,34500.0,508885
2025-05-13,33100.0,34950.0,33000.0,34450.0,297249
2025-05-14,34400.0,35100.0,33600.0,34000.0,394696
2025-05-15,33600.0,35650.0,33600.0,34650.0,402648
2025-05-16,32000.0,33450.0,31500.0,33150.0,310299
2025-05-19,31100.0,31700.0,30450.0,31250.0,209318
2025-05-20,31200.0,32000.0,31050.0,31650.0,121540
2025-05-21,31300.0,32000.0,30900.0,31450.0,119320
2025-05-22,30250.0,30600.0,30100.0,30550.0,109811
2025-05-23,30550.0,30850.0,30100.0,30250.0,94862
2025-05-26,31600.0,31750.0,30700.0,30950.0,139023
2025-05-27,32500.0,33350.0,31450.0,33300.0,284433
2025-05-28,32200.0,32700.0,31950.0,32400.0,163388
2025-05-29,32800.0,33400.0,32250.0,32450.0,237958
2025-05-30,31150.0,33100.0,31100.0,33000.0,196257
2025-06-02,34850.0,35400.0,31300.0,31700.0,1028340
2025-06-04,42500.0,43150.0,36300.0,39950.0,4273367
2025-06-05,47850.0,50200.0,41400.0,42550.0,6098888
2025-06-09,53700.0,58900.0,50800.0,50900.0,3391507
2025-06-10,53200.0,54700.0,52100.0,52800.0,885670
2025-06-11,56000.0,57000.0,51500.0,52500.0,1540160
2025-06-12,50300.0,54200.0,50000.0,54200.0,1782756
2025-06-13,47250.0,50700.0,45850.0,50500.0,1671366
2025-06-16,48350.0,48850.0,45650.0,46800.0,1125509
2025-06-17,46550.0,49100.0,45300.0,48350.0,924422
2025-06-18,50200.0,51400.0,45000.0,46300.0,1922547
2025-06-19,49150.0,50500.0,48000.0,50400.0,672211
2025-06-20,51400.0,51600.0,48050.0,49150.0,913836
2025-06-23,52300.0,53950.0,48700.0,50300.0,1244857
2025-06-24,54500.0,54600.0,50500.0,53200.0,898968
2025-06-25,53700.0,54500.0,52400.0,54500.0,614509
2025-06-26,47950.0,52000.0,47250.0,52000.0,667204
2025-06-27,46600.0,49050.0,46350.0,49000.0,299361
2025-06-30,46700.0,47300.0,45550.0,45900.0,221278
2025-07-01,46050.0,48150.0,45900.0,47000.0,246326
2025-07-02,45300.0,46650.0,45050.0,46100.0,180546
2025-07-03,43950.0,45000.0,43400.0,44700.0,253657
2025-07-04,42450.0,44650.0,42000.0,44600.0,237652
2025-07-07,42700.0,43950.0,42350.0,43350.0,177693
2025-07-08,44850.0,47000.0,42200.0,42400.0,525202
2025-07-09,45450.0,46050.0,44150.0,44800.0,153574
2025-07-10,44850.0,46600.0,44300.0,46400.0,141483
2025-07-11,43800.0,45400.0,43700.0,45050.0,119055
2025-07-14,42750.0,44450.0,42500.0,43000.0,148351
2025-07-15,43850.0,44000.0,42050.0,42800.0,159386
2025-07-16,43900.0,46300.0,43750.0,46050.0,316672
2025-07-17,43650.0,45000.0,42550.0,43250.0,201056
2025-07-18,43700.0,44650.0,43350.0,43650.0,135430
2025-07-21,43500.0,44250.0,43100.0,44250.0,100115
2025-07-22,40150.0,43550.0,39200.0,43500.0,624676
2025-07-23,39800.0,40250.0,38950.0,39950.0,136638
2025-07-24,39000.0,40050.0,38200.0,40050.0,208588
2025-07-25,39100.0,39650.0,38700.0,39400.0,84055
2025-07-28,39850.0,40500.0,39150.0,40400.0,135996
2025-07-29,39200.0,39600.0,38650.0,39550.0,84492
2025-07-30,39100.0,40350.0,39050.0,39900.0,127197
2025-07-31,40000.0,41000.0,38800.0,39250.0,196958
2025-08-01,37900.0,40050.0,37400.0,40050.0,220563
2025-08-04,33300.0,38700.0,32200.0,38400.0,790953
2025-08-05,32650.0,34200.0,32100.0,33950.0,415401
2025-08-06,32700.0,32800.0,32050.0,32450.0,162178
2025-08-07,32300.0,32850.0,32100.0,32800.0,144731
2025-08-08,31750.0,32650.0,31700.0,32600.0,111577
2025-08-11,32000.0,32350.0,31300.0,31950.0,106585
2025-08-12,32100.0,33050.0,32000.0,32000.0,148729
2025-08-13,32200.0,32850.0,31500.0,32700.0,80303
2025-08-14,32400.0,33000.0,32250.0,32350.0,82933
2025-08-18,31800.0,32100.0,31300.0,32000.0,72002
2025-08-19,31350.0,31800.0,31050.0,31550.0,93350
2025-08-20,30650.0,30700.0,30000.0,30250.0,95794
2025-08-21,30600.0,31200.0,30300.0,30500.0,61471
2025-08-22,30450.0,31000.0,30000.0,30300.0,82755
2025-08-25,31850.0,31950.0,30950.0,31250.0,129203
2025-08-26,31650.0,31950.0,31100.0,31550.0,73632
2025-08-27,31750.0,32400.0,31350.0,32400.0,94320
2025-08-28,31200.0,31650.0,31000.0,31650.0,79357
2025-08-29,31400.0,31950.0,31200.0,31750.0,94479
2025-09-01,30200.0,31250.0,30200.0,31150.0,172282
2025-09-02,31350.0,32200.0,30300.0,30300.0,281206
2025-09-03,30200.0,31400.0,29900.0,31400.0,303041
2025-09-04,31450.0,31800.0,30200.0,30300.0,226588
2025-09-05,32600.0,32950.0,31650.0,31700.0,551795
2025-09-08,32300.0,32600.0,31900.0,32600.0,207312
2025-09-09,33550.0,33700.0,31850.0,32300.0,469176
2025-09-10,33600.0,34500.0,33200.0,34100.0,429505
2025-09-11,33800.0,34800.0,33100.0,33900.0,532860
2025-09-12,36250.0,38350.0,33850.0,34000.0,1740716
2025-09-15,35350.0,36700.0,34600.0,36350.0,523507
2025-09-16,35650.0,36850.0,35150.0,35450.0,451586
2025-09-17,34550.0,35650.0,34350.0,35650.0,253891
2025-09-18,35100.0,35500.0,34750.0,34950.0,184317
2025-09-19,34650.0,35650.0,34500.0,35250.0,190746
2025-09-22,33800.0,34950.0,33750.0,34850.0,262356
2025-09-23,34250.0,36000.0,34250.0,35200.0,417569
2025-09-24,33600.0,35850.0,33450.0,34700.0,429297
2025-09-25,33150.0,34100.0,32400.0,33600.0,241813
2025-09-26,31400.0,33000.0,31350.0,32600.0,289488
2025-09-29,31550.0,32300.0,31400.0,31400.0,149823
2025-09-30,30950.0,32250.0,30800.0,32250.0,169199
2025-10-01,31050.0,31550.0,30750.0,31200.0,141181
2025-10-02,31700.0,32400.0,31250.0,31400.0,205017
2025-10-10,32750.0,33500.0,31750.0,31800.0,319547
2025-10-13,32800.0,33050.0,31150.0,31800.0,195075
2025-10-14,31600.0,32950.0,31300.0,32850.0,236574
2025-10-15,32200.0,32550.0,31350.0,31800.0,129069
2025-10-16,31400.0,32300.0,31400.0,32200.0,203708
2025-10-17,30600.0,31400.0,30400.0,31400.0,211726
2025-10-20,31600.0,31650.0,30500.0,30600.0,165051
2025-10-21,31400.0,33000.0,31250.0,31750.0,292173
2025-10-22,30950.0,31800.0,30600.0,31700.0,159999
2025-10-23,29250.0,30700.0,29200.0,30700.0,482412
2025-10-24,28400.0,29550.0,28200.0,29500.0,430188
2025-10-27,30500.0,30600.0,28450.0,28450.0,657529
2025-10-28,30000.0,30650.0,29750.0,30600.0,209254
2025-10-29,31600.0,32400.0,30250.0,30700.0,641824
2025-10-30,30000.0,31700.0,29600.0,31600.0,346129
2025-10-31,31850.0,33600.0,30350.0,30350.0,857712
2025-11-03,33950.0,34950.0,32700.0,33000.0,1255760
2025-11-04,33500.0,34350.0,32850.0,34150.0,514155
2025-11-05,31900.0,33450.0,30500.0,32850.0,466256
2025-11-06,30400.0,32550.0,30100.0,32200.0,349309
2025-11-07,30400.0,30700.0,29200.0,29500.0,226897
2025-11-10,30550.0,30600.0,29850.0,30300.0,140082
2025-11-11,30000.0,31200.0,29550.0,30900.0,240363
2025-11-12,31450.0,31600.0,29850.0,30050.0,313452
2025-11-13,30800.0,31400.0,30300.0,31400.0,158575
2025-11-14,29700.0,30350.0,29650.0,30200.0,207608
2025-11-17,28850.0,29800.0,28500.0,29700.0,209871
2025-11-18,26950.0,28850.0,26850.0,28850.0,257966
2025-11-19,28500.0,28700.0,26200.0,26950.0,242505
2025-11-20,28700.0,29250.0,28250.0,28850.0,126458
2025-11-21,27100.0,27950.0,26800.0,27000.0,159244
2025-11-24,27050.0,27600.0,26800.0,27250.0,83112
2025-11-25,27750.0,29550.0,27550.0,29550.0,119241
2025-11-26,28200.0,28500.0,27750.0,27800.0,79123
2025-11-27,27800.0,28700.0,27750.0,28300.0,81772
2025-11-28,29350.0,29400.0,27850.0,27850.0,198491
2025-12-01,30450.0,31500.0,29450.0,29800.0,405553
2025-12-02,31900.0,31950.0,30100.0,30300.0,304049
2025-12-03,32400.0,33250.0,31950.0,32400.0,273219
2025-12-04,31800.0,32850.0,31450.0,32400.0,185978
2025-12-05,31350.0,32200.0,31200.0,32000.0,157752
2025-12-08,31150.0,31600.0,30800.0,31250.0,142947
2025-12-09,31000.0,32000.0,30650.0,31300.0,148149
2025-12-10,31600.0,32350.0,30750.0,31150.0,264097
2025-12-11,30950.0,31800.0,30750.0,31700.0,489553
2025-12-12,32250.0,32400.0,30950.0,30950.0,303141
2025-12-15,30450.0,31650.0,30150.0,31650.0,280102
2025-12-16,28650.0,30350.0,28600.0,30150.0,276051
2025-12-17,28150.0,29300.0,28150.0,28800.0,105694
2025-12-18,27800.0,28500.0,27350.0,27500.0,95844
2025-12-19,27750.0,28250.0,27450.0,28100.0,166743
2025-12-22,28500.0,29150.0,28050.0,28150.0,158072
2025-12-23,28000.0,28800.0,27850.0,28500.0,109298
2025-12-24,27150.0,28000.0,27150.0,28000.0,128299
2025-12-26,26900.0,27400.0,26550.0,27200.0,130891
2025-12-29,27250.0,27600.0,26600.0,27000.0,91940
2025-12-30,26650.0,27500.0,26600.0,27300.0,120351
